stem	hmm_file	name	acc	desc	nseq	category	confidence	gene_name	cutoff	source
put_FitA_VF	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/put_FitA_VF.hmm	put_FitA_VF			427	REVIEW_NEEDED	review	put_FitA_VF	868.4	tabuteau
HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t.hmm	HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t			25	iron_aquisition-heme_oxygenase	high	HemO-family-heme-oxygenase	0.0	fegenie
HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc.hmm	HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc			25	iron_aquisition-heme_oxygenase	high	HmoB-family-heme-oxygenase	0.0	fegenie
HugZ-ChuZ-heme_oxygenase-rep	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HugZ-ChuZ-heme_oxygenase-rep.hmm	HugZ-ChuZ-heme_oxygenase-rep			25	iron_aquisition-heme_oxygenase	high	HugZ-family-heme-oxygenase	192.0	fegenie
HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc.hmm	HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc			25	iron_aquisition-heme_oxygenase	high	HupZ-family-heme-oxygenase	0.0	fegenie
Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia.hmm	Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia			25	iron_aquisition-heme_oxygenase	high	Isd-family-heme-oxygenase	62.0	fegenie
IsdG-heme-oxygenase_fam1-rep	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdG-heme-oxygenase_fam1-rep.hmm	IsdG-heme-oxygenase_fam1-rep			15	iron_aquisition-heme_oxygenase	high	IsdG-family-heme-oxygenase	102.0	fegenie
IsdG-heme-oxygenase_fam2-rep	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdG-heme-oxygenase_fam2-rep.hmm	IsdG-heme-oxygenase_fam2-rep			8	iron_aquisition-heme_oxygenase	high	IsdG-family-heme-oxygenase	101.8	fegenie
IsdG-heme-oxygenase_fam3-rep	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdG-heme-oxygenase_fam3-rep.hmm	IsdG-heme-oxygenase_fam3-rep			4	iron_aquisition-heme_oxygenase	high	IsdG-family-heme-oxygenase	647.7	fegenie
IsdI-heme-oxygenase-rep	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_oxygenase/IsdI-heme-oxygenase-rep.hmm	IsdI-heme-oxygenase-rep			3	iron_aquisition-heme_oxygenase	high	IsdI-family-heme-oxygenase	77.0	fegenie
